"","Name","Sex","Count2015","Count2016","total"
"1","Aaban","M",15,9,24
"2","Aabha","F",7,7,14
"3","Aabriella","F",5,11,16
"4","Aadam","M",22,18,40
"5","Aadarsh","M",15,11,26
"6","Aaden","M",297,194,491
"7","Aadhav","M",31,28,59
"8","Aadhavan","M",5,6,11
"9","Aadhi","M",11,5,16
"10","Aadhira","F",8,14,22
"11","Aadhvik","M",9,19,28
"12","Aadhya","F",265,284,549
"13","Aadi","M",43,55,98
"14","Aadil","M",14,15,29
"15","Aadit","M",23,23,46
"16","Aadith","M",11,11,22
"17","Aadithya","M",6,5,11
"18","Aaditya","M",33,34,67
"19","Aadon","M",8,9,17
"20","Aadvik","M",28,83,111
"21","Aadvika","F",7,13,20
"22","Aadya","F",159,159,318
"23","Aadyn","M",29,51,80
"24","Aagam","M",5,7,12
"25","Aahaan","M",10,5,15
"26","Aahan","M",26,36,62
"27","Aahana","F",31,51,82
"28","Aahil","M",78,81,159
"29","Aaiden","M",89,71,160
"30","Aaidyn","M",11,5,16
"31","Aaila","F",7,11,18
"32","Aailyah","F",6,6,12
"33","Aaima","F",12,21,33
"34","Aaira","F",24,31,55
"35","Aairah","F",19,28,47
"36","Aaisha","F",11,7,18
"37","Aakash","M",17,21,38
"38","Aakriti","F",8,5,13
"39","Aala","F",6,9,15
"40","Aalaiyah","F",11,10,21
"41","Aalani","F",17,16,33
"42","Aalaya","F",9,7,16
"43","Aalayah","F",70,66,136
"44","Aalayiah","F",8,5,13
"45","Aalaysia","F",9,9,18
"46","Aaleah","F",11,16,27
"47","Aaleeyah","F",11,9,20
"48","Aaleigha","F",9,7,16
"49","Aaleyah","F",153,104,257
"50","Aalia","F",33,46,79
"51","Aaliah","F",46,32,78
"52","Aaliana","F",6,5,11
"53","Aalijah","F",12,8,20
"54","Aalijah","M",17,11,28
"55","Aalina","F",9,6,15
"56","Aaliya","F",64,57,121
"57","Aaliyah","F",4850,4611,9461
"58","Aaliyahrose","F",5,5,10
"59","Aaliyana","F",6,8,14
"60","Aaliyiah","F",5,5,10
"61","Aalyah","F",23,14,37
"62","Aalyiah","F",23,23,46
"63","Aamanee","F",5,5,10
"64","Aamani","F",7,23,30
"65","Aamari","F",9,5,14
"66","Aamari","M",7,14,21
"67","Aamilah","F",12,15,27
"68","Aamina","F",24,24,48
"69","Aaminah","F",42,27,69
"70","Aamir","M",143,132,275
"71","Aamira","F",37,25,62
"72","Aamirah","F",15,10,25
"73","Aamiya","F",5,8,13
"74","Aamiyah","F",25,30,55
"75","Aamna","F",6,11,17
"76","Aamori","F",7,6,13
"77","Aanaya","F",8,14,22
"78","Aania","F",5,6,11
"79","Aanika","F",24,20,44
"80","Aaniya","F",17,27,44
"81","Aaniyah","F",54,48,102
"82","Aanshi","F",12,13,25
"83","Aanvi","F",47,41,88
"84","Aanya","F",240,214,454
"85","Aaqil","M",7,7,14
"86","Aara","F",15,13,28
"87","Aaradhana","F",8,13,21
"88","Aaradhya","F",81,102,183
"89","Aaralyn","F",72,73,145
"90","Aaralynn","F",22,13,35
"91","Aaran","M",17,9,26
"92","Aarav","M",539,519,1058
"93","Aaravi","F",7,5,12
"94","Aaren","M",22,31,53
"95","Aaria","F",36,62,98
"96","Aariah","F",26,32,58
"97","Aarian","F",8,5,13
"98","Aarian","M",13,17,30
"99","Aariana","F",27,16,43
"100","Aarianna","F",10,18,28
"101","Aarib","M",10,12,22
"102","Aaric","M",28,35,63
"103","Aariel","F",11,11,22
"104","Aarielle","F",11,7,18
"105","Aarik","M",6,14,20
"106","Aarika","F",23,9,32
"107","Aarilyn","F",14,9,23
"108","Aarilynn","F",5,5,10
"109","Aarin","M",27,31,58
"110","Aarini","F",8,9,17
"111","Aarion","M",15,8,23
"112","Aariona","F",9,7,16
"113","Aaris","F",6,7,13
"114","Aarish","M",33,21,54
"115","Aarit","M",22,7,29
"116","Aariv","M",50,61,111
"117","Aariya","F",14,16,30
"118","Aariyah","F",57,69,126
"119","Aariyana","F",11,7,18
"120","Aariz","M",63,62,125
"121","Aarjav","M",6,7,13
"122","Aarna","F",147,148,295
"123","Aarnav","M",45,26,71
"124","Aarnavi","F",5,8,13
"125","Aaro","M",10,8,18
"126","Aarohi","F",88,84,172
"127","Aaron","F",19,22,41
"128","Aaron","M",7144,7118,14262
"129","Aarron","M",7,8,15
"130","Aaruhi","F",5,7,12
"131","Aarush","M",211,191,402
"132","Aarushi","F",35,29,64
"133","Aarvi","F",30,25,55
"134","Aarya","F",180,189,369
